URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://chico.craigslist.org//ctd/5887390865.html,2011,Toyota,Camry,$8999,California,112885,automatic,gas,grey,4 cylinders,excellent,clean
https://chico.craigslist.org//ctd/5884397879.html,2014,Toyota,Camry,$10950,California,129655,automatic,gas,silver,4 cylinders,excellent,clean
https://chico.craigslist.org//ctd/5883220470.html,2010,Toyota,Camry,$5995,California,unk,automatic,gas,unk,unk,unk,clean
https://chico.craigslist.org//ctd/5871302083.html,2015,Toyota,Camry,$19995,California,39589,automatic,gas,white,other,excellent,clean
https://chico.craigslist.org//cto/5892466693.html,2015,Toyota,Corolla,$11900,California,33000,automatic,gas,silver,4 cylinders,like new,salvage
https://chico.craigslist.org//ctd/5887390636.html,2010,Toyota,Corolla,$8299,California,111500,automatic,gas,grey,4 cylinders,excellent,clean
https://chico.craigslist.org//cto/5885518357.html,2010,Toyota,Corolla,$8200,California,unk,manual,gas,unk,unk,unk,clean
https://chico.craigslist.org//ctd/5883540805.html,2015,Toyota,Corolla,$17995,California,36665,automatic,gas,unk,other,excellent,clean
https://chico.craigslist.org//cto/5881700087.html,2010,Toyota,Corolla,$7900,California,99000,automatic,gas,silver,4 cylinders,excellent,clean
https://chico.craigslist.org//ctd/5872910056.html,2013,Toyota,Corolla,$14995,California,48749,automatic,gas,white,other,excellent,clean
https://orangecounty.craigslist.org//cto/5857241525.html,2012,Toyota,Camry,$11900,California,69000,automatic,gas,unk,unk,unk,salvage
https://orangecounty.craigslist.org//cto/5882356633.html,2012,Toyota,Camry,$12900,California,55450,automatic,gas,red,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5900095387.html,2012,Toyota,Camry,$10900,California,unk,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5859993363.html,2010,Toyota,Camry,$9500,California,117000,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5890988861.html,2012,Toyota,Camry,$14500,California,46890,automatic,gas,custom,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5884955135.html,2014,Toyota,Camry,$16500,California,12000,automatic,gas,unk,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5886741110.html,2011,Toyota,Camry,$8990,California,unk,automatic,gas,blue,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5899711703.html,2011,Toyota,Camry,$8900,California,80080,automatic,gas,grey,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5862572191.html,2012,Toyota,Camry,$9800,California,123000,automatic,gas,unk,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5899606773.html,2012,Toyota,Camry,$1,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5899441953.html,2012,Toyota,Camry,$11277,California,68123,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5899441184.html,2010,Toyota,Camry,$8577,California,105123,automatic,gas,grey,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5899432244.html,2015,Toyota,Camry,$16200,California,38123,automatic,gas,white,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5899067400.html,2010,Toyota,Camry,$8200,California,25000,automatic,gas,grey,4 cylinders,like new,salvage
https://orangecounty.craigslist.org//ctd/5898998557.html,2011,Toyota,Camry,$7998,California,114664,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5898777639.html,2011,Toyota,Camry,$10995,California,53800,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5898713256.html,2014,Toyota,Camry,$17500,California,14500,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5898444074.html,2011,Toyota,Camry,$13000,California,107,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5885001334.html,2011,Toyota,Camry,$8990,California,unk,automatic,gas,blue,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5898485864.html,2010,Toyota,Camry,$8777,California,105123,automatic,gas,grey,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5898468747.html,2012,Toyota,Camry,$11277,California,68123,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5898463719.html,2015,Toyota,Camry,$16200,California,38123,automatic,gas,white,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5898283183.html,2011,Toyota,Camry,$8890,California,121000,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5861330353.html,2012,Toyota,Camry,$11000,California,47000,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5890072861.html,2015,Toyota,Camry,$13495,California,unk,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5898197760.html,2013,Toyota,Camry,$12500,California,69000,automatic,gas,blue,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5898184246.html,2011,Toyota,Camry,$10995,California,62817,automatic,gas,red,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5898023156.html,2012,Toyota,Camry,$14990,California,52753,automatic,gas,white,4 cylinders,good,clean
https://orangecounty.craigslist.org//ctd/5897993401.html,2013,Toyota,Camry,$16933,California,64534,automatic,hybrid,unk,4 cylinders,good,clean
https://orangecounty.craigslist.org//ctd/5897946112.html,2010,Toyota,Camry,$9900,California,unk,automatic,gas,unk,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5888496199.html,2015,Toyota,Camry,$17600,California,21684,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5897109867.html,2014,Toyota,Camry,$9650,California,24000,automatic,gas,unk,unk,excellent,salvage
https://orangecounty.craigslist.org//cto/5893703780.html,2010,Toyota,Camry,$9500,California,74000,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5896520466.html,2010,Toyota,Camry,$9900,California,unk,automatic,gas,unk,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5875137791.html,2015,Toyota,Camry,$17999,California,2411,automatic,gas,grey,4 cylinders,new,clean
https://orangecounty.craigslist.org//ctd/5896134609.html,2014,Toyota,Camry,$17988,California,44931,automatic,gas,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5896041689.html,2012,Toyota,Camry,$11500,California,88420,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5878025145.html,2011,Toyota,Camry,$8900,California,110514,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5858889327.html,2014,Toyota,Camry,$15600,California,24000,automatic,gas,blue,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5895385178.html,2015,Toyota,Camry,$2000,California,unk,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5853588684.html,2014,Toyota,Camry,$16000,California,35000,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5894924148.html,2013,Toyota,Camry,$13499,California,unk,automatic,gas,silver,4 cylinders,like new,clean
